"Datacenter";"Name";"TotalSpaceGB";"Type";"UsedSpaceGB";"ProvisionedSpaceGB";"FreeSpaceGB";"NumVM";"NumVMHost"
"SAV";"09local-r101T";"1862";"VMFS";"594";"636";"1268";"4";"1"
"SAV";"09local-r10-250GB";"467";"VMFS";"1";"1";"466";"0";"1"
"SAV";"10.59_disk1";"1856";"VMFS";"105";"215";"1750";"2";"1"
"SAV";"10.59_disk2";"1863";"VMFS";"1862";"1862";"1";"1";"1"
"SAV";"10.59_disk3";"1863";"VMFS";"1862";"1862";"1";"1";"1"
"SAV";"10.59_disk4";"1863";"VMFS";"1862";"1862";"1";"1";"1"
"SAV";"13hp_localstore";"1863";"VMFS";"1415";"1906";"448";"24";"1"
"SAV";"14hp_localstore";"1863";"VMFS";"1762";"2058";"101";"22";"1"
"SAV";"15hp_localstore";"1863";"VMFS";"1294";"1722";"569";"17";"1"
"SAV";"16hp_localstore";"1863";"VMFS";"1520";"2006";"343";"20";"1"
"SAV";"17hp_localstore";"1863";"VMFS";"1349";"1706";"514";"23";"1"
"SAV";"avaya-esx03_localstore";"274";"VMFS";"1";"1";"273";"0";"1"
"SAV";"avaya-esx04_localstore";"274";"VMFS";"1";"1";"273";"0";"1"
"SAV";"backup2_localstore";"926";"VMFS";"101";"112";"825";"1";"1"
"SAV";"DS3500_lun0";"2729";"VMFS";"2213";"3371";"516";"46";"8"
"SAV";"DS3500_lun1";"2857";"VMFS";"2410";"3037";"447";"34";"8"
"SAV";"esx01_localstore";"458";"VMFS";"1";"1";"457";"0";"1"
"SAV";"esx01_localstore2";"462";"VMFS";"41";"41";"420";"0";"1"
"SAV";"esx01_localstore3";"462";"VMFS";"56";"56";"405";"0";"1"
"SAV";"esx02_localstore";"458";"VMFS";"1";"1";"457";"0";"1"
"HUTOR";"esx03_localstore";"461";"VMFS";"54";"79";"406";"1";"1"
"HUTOR";"esx03_localstore2";"927";"VMFS";"309";"348";"618";"3";"1"
"SAV";"esx04_localstore";"461";"VMFS";"128";"206";"333";"1";"1"
"SAV";"esx05_localstore";"461";"VMFS";"1";"1";"460";"0";"1"
"SAV";"esx06_localstore";"461";"VMFS";"40";"40";"421";"0";"1"
"HUTOR";"esx07_localstore";"461";"VMFS";"23";"28";"438";"1";"1"
"HUTOR";"esx07_localstore2";"931";"VMFS";"2";"2";"930";"0";"1"
"HUTOR";"esx07_localstore3";"931";"VMFS";"2";"2";"929";"0";"1"
"SAV";"esx08_localstore";"1856";"VMFS";"1763";"2679";"93";"13";"1"
"SAV";"esx10_localstore";"3720";"VMFS";"1514";"1866";"2206";"31";"1"
"SAV";"esx11_localstore";"3720";"VMFS";"1659";"1859";"2061";"9";"1"
"SAV";"esx18_localstore";"461";"VMFS";"1";"1";"460";"0";"1"
"SAV";"esx18_localstore2";"466";"VMFS";"254";"373";"212";"3";"1"
"SAV";"esx-19_localstore";"3720";"VMFS";"441";"1149";"3279";"3";"1"
"SAV";"esx-20_localstore";"3720";"VMFS";"3046";"4149";"674";"9";"1"
"SAV";"esx22_localstore";"132";"VMFS";"4";"4";"128";"0";"1"
"SAV";"esx23_localstore";"132";"VMFS";"1";"1";"131";"0";"1"
"SAV";"esx24_localstore";"132";"VMFS";"7";"19";"124";"1";"1"
"SAV";"esx25_localstore";"132";"VMFS";"1";"1";"131";"0";"1"
